Temperatura   , dT           , Intensitat   , dI           , Tensió          , dV
19.8338146210 , 0.0651243776 , 5.7900214195 , 0.0049999999 , 4496.3247070313 , 6.8201870918
19.8124847412 , 0.0605936721 , 5.7773194313 , 0.0049999999 , 4504.1196289063 , 8.5043964386
19.7052097321 , 0.0630453229 , 5.7823715210 , 0.0049999999 , 4492.2983398438 , 7.1013875008
19.5860137939 , 0.0434543826 , 5.7791042328 , 0.0049999999 , 4485.1396484375 , 7.6745667458
19.5414752960 , 0.0450544655 , 5.7794599533 , 0.0049999999 , 4493.7075195313 , 7.2988815308
19.5753498077 , 0.0470770448 , 5.7750182152 , 0.0049999999 , 4488.1596679688 , 7.5827579498
19.5960521698 , 0.0499078631 , 5.7915334702 , 0.0049999999 , 4491.1445312500 , 7.6419596672
19.7058372498 , 0.0657177940 , 5.8015131950 , 0.0049999999 , 4486.7343750000 , 7.5579018593
19.6456127167 , 0.0346148871 , 5.8043899536 , 0.0049999999 , 4489.7460937500 , 7.5317988396
19.8212680817 , 0.0665023178 , 5.8003859520 , 0.0049999999 , 4492.1064453125 , 7.4339637756
19.7792358398 , 0.0302070063 , 5.7782225609 , 0.0049999999 , 4489.5195312500 , 7.5188479424
19.6719608307 , 0.0475561991 , 5.7913651466 , 0.0049999999 , 4479.2412109375 , 6.3860778809
19.8055839539 , 0.0435115211 , 5.7958674431 , 0.0049999999 , 4499.2817382813 , 5.3900117874
19.5747241974 , 0.0461778492 , 5.7993087769 , 0.0049999999 , 4487.5380859375 , 6.9180951118
19.6876430511 , 0.0307874735 , 5.8068017960 , 0.0049999999 , 4486.0957031250 , 9.1187849045
19.6989364624 , 0.0352901854 , 5.8109812737 , 0.0049999999 , 4489.3872070313 , 8.7179479599
19.6236553192 , 0.0593560375 , 5.8187718391 , 0.0049999999 , 4479.6025390625 , 6.5292000771
19.6305541992 , 0.0636532381 , 5.8171143532 , 0.0049999999 , 4480.2172851563 , 6.0402536392
19.6600399017 , 0.0371592157 , 5.8139138222 , 0.0049999999 , 4479.5288085938 , 7.0101494789
19.7409687042 , 0.0532963388 , 5.8143296242 , 0.0049999999 , 4497.3144531250 , 6.7192955017
19.6612968445 , 0.0561841950 , 5.8011503220 , 0.0049999999 , 4487.8374023438 , 8.4504280090
19.8162517548 , 0.0439376943 , 5.8023543358 , 0.0049999999 , 4498.0815429688 , 7.4065327644
19.6989364624 , 0.0647657141 , 5.8106412888 , 0.0049999999 , 4476.7412109375 , 6.2766489983
19.7001914978 , 0.0387547538 , 5.8182215691 , 0.0049999999 , 4487.2636718750 , 5.9718532562
19.7246570587 , 0.0589412339 , 5.8223581314 , 0.0049999999 , 4478.1259765625 , 7.8302888870
19.7221488953 , 0.0557847731 , 5.8194875717 , 0.0049999999 , 4482.7944335938 , 6.9907002449
19.7936649323 , 0.0384328626 , 5.8245964050 , 0.0049999999 , 4495.5639648438 , 9.9729137421
19.7001914978 , 0.0440788418 , 5.8211355209 , 0.0049999999 , 4486.9658203125 , 6.0259900093
19.6669425964 , 0.0555895716 , 5.8138694763 , 0.0049999999 , 4474.4379882813 , 8.0921297073
19.7861366272 , 0.0581615046 , 5.8037891388 , 0.0049999999 , 4487.7622070313 , 5.7517833710
19.7127380371 , 0.0336688459 , 5.7969141006 , 0.0049999999 , 4482.1044921875 , 5.9457287788
19.7535171509 , 0.0451371074 , 5.7953672409 , 0.0049999999 , 4487.0888671875 , 6.2404747009
19.5734672546 , 0.0360132307 , 5.7938523293 , 0.0049999999 , 4483.8320312500 , 7.1122179031
19.7202663422 , 0.0495769531 , 5.7972512245 , 0.0049999999 , 4482.9799804688 , 7.0565114021
19.8338146210 , 0.0500880033 , 5.8075141907 , 0.0049999999 , 4494.4038085938 , 9.1511592865
19.7723350525 , 0.0462651998 , 5.8084473610 , 0.0049999999 , 4494.5654296875 , 8.2534923553
19.6782341003 , 0.0637458786 , 5.8035488129 , 0.0049999999 , 4480.0722656250 , 7.6375699043
19.8193874359 , 0.0582202114 , 5.8135480881 , 0.0049999999 , 4491.7548828125 , 6.2415766716
19.6575317383 , 0.0548980869 , 5.8072848320 , 0.0049999999 , 4476.8359375000 , 8.0415906906
19.8131122589 , 0.0440577008 , 5.8099508286 , 0.0049999999 , 4484.0742187500 , 6.4129395485
